Employee's first Name,Employee's initial,Employee's last Name,Employee's address,Employee's zip code,Employee's Social security number,Employer's identification number,Employer's name,Employer's address,Employer's zip code,Employer's state,Employer's state ID number,"Employer's state wages, tips",Employer's state income tax,"Employer's local wages, tips",Employer's local income tax,Employer's Locality name,"Wages, tips, other compensation",Federal income tax withheld,Social security wages,Social security tax withheld,Medicare wages and tips,Medicare tax withheld,Social security tips,Allocated tips,Advance EIC payment,Dependent care benefits,Nonqualified plans,Statutory employee,Retirement plan,Third-payer sick pay,year,file
Jill,,Case,"08470 Miller Stream, Petersmouth, IN",55359-2536,259-79-5957,68-0385441,Young-Perkins PLC,"03348 Parker Hills, Garciaside, NE",06534-6570,"['CO', 'ND']","['968-77-760', '468-92-503']","['115619.96', '105047.37']","['6736.22', '7369.36']","['249443.3', '164887.03']","['31036.29', '33196.73']","['Justin Mission', 'Tina Fort']",231779.84,39340.33,238491.85,18244.63,189412.8,5492.97,238491.85,189412.8,,223,158,,,x,2010,1011
Joseph,,Miller,"68390 Blackwell Drive, South Robert, MD",20384-0111,246-23-8883,91-4181453,Mitchell-Price Ltd,"68390 Blackwell Drive, South Robert, MD",20384-0111,"['CT', 'Dc']","['323-54-979', '962-11-684']","['27166.89', '24873.15']","['2107.83', '2479.37']","['49076.8', '49528.08']","['6826.99', '6436.07']","['Cameron Lakes', 'Howell Harbors']",50379.86,9384.61,57145.11,4371.6,63120.83,1830.5,57145.11,63120.83,,110,101,x,,,2010,1012
Jose,,Booker,"27374 Henderson Oval, Lake James, NJ",32949-6377,725-40-6045,75-1618704,Mendoza-Matthews Group,"712 Haley Meadow, West Jeremymouth, MD",23850-8575,"['MS', 'WA']","['023-25-032', '680-75-507']","['119129.57', '130927.44']","['8241.63', '9297.86']","['172528.54', '207103.82']","['31225.01', '34273.62']","['Kayla Gardens', 'Emily Bypass']",242353.95,66000.12,191154.72,14623.34,200054.81,5801.59,191154.72,200054.81,,214,216,,,x,2010,1013
Virginia,,Smith,"917 April Isle, New Taylor, IL",20087-0048,107-41-1388,25-4904377,Bailey-Gross and Sons,"2965 James Manors Suite 021, Christopherburgh, OK",23062-2861,"['VT', 'NJ']","['915-96-549', '680-75-507']","['58480.64', '48561.62']","['6080.78', '4408.71']","['129924.11', '100234.74']","['15289.43', '17158.68']","['Rodriguez Row', 'Robert Island']",106876.37,16645.06,95686.59,7320.02,93749.0,2718.72,95686.59,93749.0,,248,260,x,,,2010,1014
Aaron,,Swanson,"672 Brian Common Suite 123, East Lisa, UT",55739-1243,466-91-3126,63-3760542,Douglas LLC Ltd,"84831 Hill Centers Apt. 984, Port Christianberg, KS",62700-6312,"['NV', 'NE']","['853-09-125', '145-61-996']","['44184.64', '44966.39']","['3933.42', '4328.61']","['67357.24', '110538.28']","['18355.39', '11587.61']","['Katherine Manors', 'Mark Inlet']",94560.78,32659.11,68248.81,5221.03,84120.42,2439.49,68248.81,84120.42,,281,174,x,,,2010,1015
Laura,,Daniel,"73200 Tammy Bridge Apt. 560, Chadfort, ND",32994-7451,051-22-2256,42-1580203,Jones-Jones Group,"706 Cook Island Apt. 840, Rubiotown, IN",25520-9318,"['CA', 'IA']","['328-54-651', '246-16-536']","['56466.68', '55894.19']","['6923.11', '6717.27']","['126534.91', '115872.82']","['21665.12', '15537.79']","['Emily Harbor', 'Bell Ville']",113671.47,28250.59,119797.41,9164.5,123417.38,3579.1,119797.41,123417.38,,234,213,,,,2010,1016
Kristi,,Johnson,"83396 Cross Pines Suite 762, Johnstonville, SC",94521-0987,809-28-499,21-7956016,Thomas-Boyd Inc,"0432 Taylor Square, South Georgeton, IN",58391-0590,"['LA', 'MA']","['929-01-640', '397-19-975']","['122344.03', '123736.57']","['5822.85', '7130.21']","['224487.97', '220542.16']","['23884.18', '33374.88']","['Mark Hill', 'Kim Road']",232115.87,24902.68,163848.6,12534.42,299901.92,8697.16,163848.6,299901.92,,244,279,x,x,,2010,1017
Amy,,Cline,"8632 Mcclure Curve, Gailfort, NJ",47117-3789,536-93-9326,82-4064182,"Rangel, Wiggens and Ortega Ltd","3460 Stevenson Islands, Sarahbury, WY",01038-0096,"['MO', 'IN']","['477-24-625', '383-61-689']","['80003.05', '71785.9']","['4645.07', '5065.9']","['168168.46', '120405.61']","['21773.31', '27659.22']","['Baldwin Place', 'Deborah Union']",157070.83,37579.09,135198.88,10342.71,153972.01,4465.19,135198.88,153972.01,,280,276,,,,2010,1018
Gregory,,Hart,"5688 Poole Falls, Stevenborough, IL",36911,786-31-8115,56-9378446,Young PLC Ltd,"595 Brandon Wells Suite 061, Williamsstad, NC",19079-3808,"['MO', 'OH']","['418-63-667', '911-60-685']","['67150.17', '69813.49']","['6466.24', '6191.72']","['130974.71', '162820.71']","['16156.66', '15539.78']","['Belinda Spur', 'Charles Hollow']",129491.35,19153.81,124980.79,9561.03,112176.01,3253.1,124980.79,112176.01,,160,235,x,,,2010,1019
Craig,,Conway,1982 Fitzgerald Motorway Suite 99,98682,685-27-9841,22-9885201,"Edwards, Gonzalez and Good Inc","778 Julie Ferry, Shellytown, WI",66617-5965,"['OR', 'ID']","['776-67-515', '803-97-566']","['107118.52', '104782.43']","['5310.76', '4996.92']","['184325.89', '154450.28']","['29828.42', '38005.28']","['Jones Locks', 'Holmes Plain']",211766.48,22932.51,254997.22,9561.03,216338.03,6273.8,254997.22,216338.03,,169,178,,,,2010,1020
Brandon,,Powell,"165 Brown Street Apt. 864, South Robertmouth, TN",54177,566-27-1172,02-6867459,"Blackburn, Santos and Harper Ltd","750 Robert Mill, Rebeccaland, GA",22374-4695,"['KS', 'HI']","['741-01-213', '658-61-470']","['75838.75', '86701.98']","['8859.14', '7005.89']","['140962.5', '202260.01']","['16250.84', '31088.45']","['Salinas Underpass', 'Holmes Lane']",159274.52,49444.62,184552.98,14118.3,146281.26,4242.16,184552.98,146281.26,,262,231,x,,x,2010,1021
Joshua,,Chung,"384 John Passage Suite 913, Lake Jasmine, WI",79493-3115,667-08-6911,81-4051208,"Davis, Flynn and Rice PLC","3422 Richard Park APt. 580, Riosview, NY",27951-2884,"['AL', 'TX']","['909-47-308', '548-54-344']","['123819.46', '126101.5']","['3914.24', '5747.41']","['239497.14', '197091.82']","['32105.32', '31820.74']","['Denise Keys', 'Spencer Hills']",239299.4,36436.32,202042.59,15456.26,294588.12,8543.06,202042.59,294588.12,,140,188,,x,,2010,1022
Kevin,,Weiss,"06811 Mark Street, Lake Ronniestad, VA",09568-0186,458-29-4861,66-8796415,Liu-Sanchez LLC,"624 Morales Via Apt. 302, Hillfort, AR",96417-7845,"['DE', 'IL']","['036-05-380', '961-71-270']","['127453.83', '123623.53']","['12408.17', '13317.86']","['189396.93', '185650.24']","['47188.52', '37336.26']","['Scoot Forks', 'Kimberly Plains']",241392.59,80881.5,267117.82,20434.51,306128.09,8877.71,267117.82,306128.09,,163,142,x,,,2010,1023
Christina,,Rodgers,"0699 Cory Manors Suite 511, Douglaschester, OR",34077-4996,462-93-4192,53-8183487,"Hodges, Kelly and Marquez Inc","80373 Sean Lakes, Fitzpatrickhaven, MA",50067-2945,"['UT', 'KY']","['142-88-776', '979-95-965']","['48649.44', '43935.74']","['4761.21', '5217.66']","['104252.31', '99776.06']","['16570.27', '12319.75']","['Alexis Motorway', 'Guzman Hills']",95583.74,28358.47,97650.57,7470.27,119828.4,3475.02,97650.57,119828.4,,252,128,,x,,2010,1024
Benjamin,,Howard,"549 Wagner Turnpike, NOrth Jamesburgh, KS",12503,850-19-439,39-5248121,"Martinez, Frederick and Anderson Ltd","3033 Lewis Fords, Port Jennifer, MS",78994-4775,"['NE', 'LA']","['850-19-439', '684-87-686']","['51401.18', '54212.48']","['2458.43', '3355.15']","['126348.49', '97388.77']","['14378.64', '20222.18']","['Dean Underpass', 'Sandra Views']",106745.15,39324.33,85741.75,6559.24,129771.43,3763.37,85741.75,129771.43,,114,222,,x,,2010,1025
Brenda,,Tate,"87089 Henderson Island Suite 647, Roachborough, NJ",31782-4528,757-72-5237,36-4437953,Johnson Inc LLC,"99443 Jones Mews, East Mariahville, NY",43349-8056,"['AR', 'OK']","['980-77-298', '514-52-669']","['82210.38', '74931.11']","['3798.86', '3150.76']","['194150.07', '196710.67']","['23305.82', '29172.14']","['Martinez Camp', 'Franklin Isle']",152256.01,19645.83,111673.14,8543.0,124315.11,3605.14,111673.14,124315.11,,182,294,,,,2010,1026
Steven,,Vazquez,768 Watts Stravenue Suite 613,32309-8121,771-65-1503,11-5111671,Owens PLC Group,"98265 Williamson Pine Suite 940, East Keithville, AK",09182-5377,"['IL', 'WY']","['138-77-813', '245-76-043']","['21384.48', '18887.02']","['1077.45', '1059.09']","['33343.69', '47249.85']","['7129.59', '4024.88']","['Mariah Shore', 'Bauer Crescent']",40221.75,8527.8,40290.96,3082.26,34703.41,1006.4,40290.96,34703.41,,243,105,,,,2010,1027
Anna,,Green,"26195 Shelly Station, Christopherville, NM",80376,521-99-2805,04-6527118,George PLC Group,"75737 Steven Road, Wilsonverg, AK",60557-2508,"['VT', 'SC']","['266-42-317', '608-64-073']","['30116.64', '28096.76']","['3577.35', '2659.54']","['44439.88', '55422.44']","['6089.88', '10498.0']","['Monica Mountains', 'Katrina Greens']",60156.88,10706.5,73590.5,5629.67,67641.56,1961.61,73590.5,67641.56,,240,289,,,x,2010,1028
Vanessa,,Kirk,"477 Cory Keys, West Michaelburgh, AL",14350,061-74-3844,99-9301354,"Harris, Wu and Phillips Ltd","68729 Sloan Junction Suite 353, Perezfurt, AR",94828-5236,"['OR', 'GA']","['014-99-933', '755-40-771']","['111635.94', '93948.6']","['9577.99', '7152.25']","['230901.81', '162593.98']","['25569.78', '22008.92']","['Rivera Trail', 'Cathy Trail']",205321.46,42333.53,202148.25,15464.34,264705.97,7676.47,202148.25,264705.97,,285,229,x,,,2010,1029
Amanda,,Carroll,"220 Foley Ford Suite 426, Landryside, VT",54626-5244,122-58-2268,80-2130083,Whitaker-Abbott LLC,"8628 Pennington Square, Johnsonview, KY",35158-0958,"['CA', 'CA']","['182-55-525', '323-28-799']","['92586.46', '82891.51']","['10065.8', '10352.17']","['149021.54', '189294.98']","['30831.44', '18685.66']","['Carter Stravenue', 'Howard Cliffs']",179715.95,36352.46,159854.26,12228.85,228239.81,6618.95,159854.26,228239.81,,199,155,,,,2010,1030
Bonnie,,Hernandez,"96453 Molly Hollow Apt. 124, East Kathrynmouth, AL",01397,099-57-5786,41-3923641,Delgado LLC and Sons,"29967 William Divide, East Joeside, WV",10648-9860,"['VT', 'AZ']","['560-65-064', '979-44-563']","['98983.11', '100733.71']","['9344.71', '11161.87']","['222772.96', '229340.04']","['32529.44', '29213.04']","['Hicks Circle', 'York Lodge']",213073.98,51168.85,258334.6,19762.6,165246.26,4792.14,258334.6,165246.26,,199,103,,,x,2010,1031
Stephen,,George,"667 Moreno Islands Apt. 604, West John, NE",82311-5239,106-54-4841,80-2762530,Newman Ltd Group,"1922 Anthony Ramp, Phillipside, AR",69318-3649,"['TN', 'TX']","['179-36-021', '176-52-207']","['128747.75', '113917.19']","['9249.2', '9402.94']","['313134.11', '174545.29']","['37362.12', '24755.19']","['Hall Alley', 'Lynn Course']",246434.42,42774.1,214276.15,16392.13,294193.65,8531.62,214276.15,294193.65,,114,184,,,x,2010,1032
Jacob,,Gibbs,"04274 Trevor Prairie Apt. 381, WHitefort, MA",92004-2975,397-41-0692,32-3474379,Simmons-Sanchez LLC,"7015 Thomas Views Suite 873, Garychester, LA",52580-3224,"['WI', 'OR']","['656-55-537', '201-64-139']","['40555.93', '37647.18']","['1951.56', '1521.82']","['68334.94', '80684.85']","['8001.05', '12415.19']","['Potter Wall', 'Brown Field']",79780.68,11902.95,73766.72,5643.15,75955.15,2202.7,73766.72,75955.15,,273,290,x,,,2010,1033
Charles,,Avila,"66050 Hunt Valleys Apt. 689, Michaelport, WY",62963-5613,737-88-7555,58-1543494,"Cole, Kim and Donaldson and Sons","01071 Boyd Key Suite 305, West Michael, OK",83587-2313,"['NE', 'LA']","['794-89-465', '047-56-810']","['59487.6', '61234.89']","['3922.51', '5369.4']","['118927.73', '138014.21']","['22699.14', '12658.75']","['Reed Meadows', 'Patel Hollow']",119945.48,30953.24,154205.18,11796.7,151758.58,4401.0,154205.18,151758.58,,224,180,,x,,2010,1034
James,,Rodriguez,"869 Rodger Mountains, Ryanfurt, OK",59847-8037,081-76-7172,91-5606780,Jones Inc PLC,"8985 Brandi Tunnel, Davisstad, RI",43134-3941,"['DE', 'AR']","['763-98-982', '717-57-877']","['31085.54', '34868.12']","['1240.69', '1194.08']","['68302.87', '61063.71']","['13020.58', '11930.09']","['Morgan Crossing', 'Giles Field']",67094.15,15672.67,79726.6,6099.08,65966.69,1913.03,79726.6,65966.69,,236,123,x,x,,2010,1035
John,,Moss,"80934 Nicole Extensions, Johnsshire, WA",08923-2155,614-09-7439,31-1225757,Werner-Burke and Sons,"34189 Cooper Square Suite 500, New Kellyberg, OK",18948-4384,"['LA', 'IA']","['074-25-553', '680-45-529']","['58917.27', '64153.61']","['7066.37', '7040.21']","['110692.0', '90375.67']","['19479.55', '18387.26']","['Stout Branch', 'James Mountain']",123853.91,16844.28,133995.34,10250.64,151354.21,4389.27,133995.34,151354.21,,146,298,,,x,2010,1036
Tammy,,Macdonald,"267 Austin Unions Suite 494, Lake Joshuaside, NJ",74371-6205,176-25-7940,30-7554983,"Wagner, Jacobs and Haney and Sons","61171 Martin COrner Apt. 963, Bowmanborough, UT",51844-9881,"['PA', 'RI']","['982-24-764', '327-58-887']","['98322.53', '108332.51']","['7631.62', '9423.16']","['168570.65', '201297.37']","['36285.23', '29639.86']","['Yu Meadow', 'Matthew Lock']",211372.13,34161.54,210065.41,16070.0,177795.36,5156.07,210065.41,177795.36,,233,107,,,x,2010,1037
Tammy,,Macdonald,"267 Austin Unions Suite 494, Lake Joshuaside, NJ",74371-6205,176-25-7940,30-7554983,"Wagner, Jacobs and Haney and Sons","61171 Martin COrner Apt. 963, Bowmanborough, UT",51844-9881,"['PA', 'RI']","['982-24-764', '327-58-887']","['98322.53', '108332.51']","['7631.62', '9423.16']","['168570.65', '201297.37']","['36285.23', '29639.86']","['Yu Meadow', 'Matthew Lock']",211372.13,34161.54,210065.41,16070.0,177795.36,5156.07,210065.41,177795.36,,233,107,,,x,2010,1038
Kyle,,Munoz,"32247 Lisa Curve Suite 086, Michaelport, HI",77800-4418,828-11-6538,84-4367198,Clark Ltd Group,"17639 Tracey Underpass Suite 193, West Matthewberg, FL",42546-7137,"['MT', 'MO']","['209-25-981', '449-05-963']","['89366.9', '85715.07']","['10420.7', '12184.16']","['158021.27', '149796.32']","['31438.67', '21496.14']","['Mueller Prairie', 'Le Green']",187619.16,66686.15,194604.49,14887.24,236427.62,6856.4,194604.49,236427.62,,187,153,,x,x,2010,1039
Seth,,Martinez,"438 Brandon Point Apt. 407, Lake Victoriamouth, WA",46507,642-31-4416,15-5102858,"Montes, Townsend and Love and Sons","6663 Marcus Motorway, Elizabethland, NM",78391-7309,"['NH', 'CT']","['407-76-849', '900-88-616']","['82194.09', '73750.88']","['6054.42', '8968.34']","['203463.98', '146978.16']","['30100.59', '23914.34']","['April Forest', 'Manning Mall']",162399.96,44424.55,152708.75,11682.22,125140.19,3629.07,152708.75,125140.19,,114,253,,,,2010,1040
David,,Hill,"965 Rodgers Lake Apt. 548, New Denise, NC",16717-9024,006-82-2022,36-6424483,Green Ltd and Sons,"30514 Jones Square Apt. 551, Joshuaview, ID",35691-4865,"['UT', 'SD']","['362-80-416', '671-91-389']","['44504.2', '42799.27']","['2880.04', '2775.16']","['74067.92', '83235.44']","['15446.25', '10432.13']","['Diana Way', 'Johnson Brooks']",83227.72,14716.33,100817.71,7712.55,99137.52,2874.99,100817.71,99137.52,,215,107,x,,,2010,1041
,,Debbie,"3916 Stevens Center Apt. 868, South Laura, SD",62127-4608,631-44-6006,53-6884461,Bond Group Ltd,"224 Burnett Spurs, Thomasbury, KS",92444-1701,"['WV', 'MO']","['900-77-555', '751-85-019']","['25411.48', '22871.74']","['885.24', '917.77']","['59384.38', '55683.99']","['5505.52', '6797.07']","['Eric Views', 'Debra Locks']",50707.73,7269.65,36080.74,2760.18,57736.99,1674.37,36080.74,57736.99,,270,115,,,,2010,1042
Greg,,Lucas,"77681 Jose Roads, South William, MN",61284,665-50-6675,21-0396592,Wright-Houston LLC,"4463 Lowery Garden, Michelletown, WA",06151-2464,"['MT', 'MD']","['792-11-877', '574-17-323']","['43669-96', '48029.63']","['2739.07', '3623.95']","['73123.7', '105497.15']","['13574.78', '15417.82']","['Travis Mill', 'Jared Mill']",88738.07,17050.11,77849.65,5955.5,68215.11,1978.24,77849.65,68215.11,,280,101,,x,,2010,1043
Renee,,Howard,"41137 Adams Parkways Suite 509, Carterchester, AR",30369-0496,169-52-1407,41-3052139,Rose Ltd Ltd,"695 Martinez Trail Suite 586, Laurafurt, WI",74846-4827,"['IN', 'NM']","['005-02-834', '743-09-529']","['113674.99', '116695.11']","['10886.33', '12756.92']","['297712.28', '198826.02']","['26692.14', '26028.46']","['Elizabeth Valleys', 'Knox Skyway']",230691.99,63087.75,257603.81,19706.69,201181.63,5834.27,257603.81,201181.63,,230,261,,x,,2010,1044
Sarah,,Marsh,"42449 Chelsea Wells, East Douglas, LA",65758,040-57-9133,31-9957695,Hall LLC LLC,"7997 Tammy Dale, Brandonshire, OH",94405-4824,"['RI', 'PA']","['405-66-284', '899-63-297']","['44985.02', '42487.51']","['4445.72', '3858.55']","['107328.91', '84953.78']","['8666.18', '10420.03']","['Pierce Ports', 'Andrea Flat']",82682.71,16831.82,105583.18,8077.11,70074.48,2032.16,105583.18,70074.48,,147,276,,,,2010,1045
