level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,bottom,right,label
5,1,3,1,4,1,66,80,137,15,88,37-2766773,95,203,0.0
2,1,4,0,0,0,1,102,658,3,-1,,105,659,0.0
3,1,4,1,0,0,1,102,658,3,-1,,105,659,0.0
4,1,4,1,1,0,1,102,658,3,-1,,105,659,0.0
5,1,4,1,1,1,1,102,658,3,95, ,105,659,0.0
2,1,5,0,0,0,13,108,252,13,-1,,121,265,0.0
3,1,5,1,0,0,13,108,252,13,-1,,121,265,0.0
4,1,5,1,1,0,13,108,252,13,-1,,121,265,0.0
5,1,5,1,1,1,29,108,62,13,78,Employers,121,91,0.0
5,1,5,1,1,2,97,111,30,7,91,"name,",118,127,0.0
5,1,5,1,1,3,137,108,44,10,95,"address,",118,181,0.0
5,1,5,1,1,4,191,108,19,10,96,and,118,210,0.0
5,1,5,1,1,5,215,108,18,10,96,ZIP,118,233,0.0
5,1,5,1,1,6,239,108,26,10,96,code,118,265,0.0
2,1,6,0,0,0,64,133,279,15,-1,,148,343,0.0
3,1,6,1,0,0,64,133,279,15,-1,,148,343,0.0
4,1,6,1,1,0,64,133,279,15,-1,,148,343,0.0
5,1,6,1,1,1,64,133,224,15,92,Richardson-Brown,148,288,0.0
5,1,6,1,1,2,303,134,40,14,96,PLC,148,343,0.0
2,1,7,0,0,0,781,3,112,37,-1,,40,893,0.0
3,1,7,1,0,0,781,3,112,37,-1,,40,893,0.0
4,1,7,1,1,0,782,3,111,14,-1,,17,893,0.0
5,1,7,1,1,1,782,3,35,14,96,"Safe,",17,817,0.0
5,1,7,1,1,2,822,3,71,14,96,"Accurate,",17,893,0.0
4,1,7,1,2,0,781,28,82,12,-1,,40,863,0.0
5,1,7,1,2,1,781,28,44,12,96,FAST!,40,825,0.0
5,1,7,1,2,2,835,28,28,12,96,Use,40,863,0.0
2,1,8,0,0,0,681,56,214,39,-1,,95,895,0.0
3,1,8,1,0,0,681,56,214,39,-1,,95,895,0.0
4,1,8,1,1,0,681,56,214,13,-1,,69,895,0.0
5,1,8,1,1,1,681,56,4,10,25,T,66,685,0.0
5,1,8,1,1,2,704,56,40,13,28,"Wages,",69,744,0.0
5,1,8,1,1,3,753,57,24,12,93,"tips,",69,777,0.0
5,1,8,1,1,4,783,56,28,10,95,other,66,811,0.0
5,1,8,1,1,5,819,57,76,12,77,compensation,69,895,0.0
4,1,8,1,2,0,725,80,109,15,-1,,95,834,0.0
5,1,8,1,2,1,725,80,109,15,0,§5151...93,95,834,0.0
2,1,9,0,0,0,671,29,57,10,-1,,39,728,0.0
3,1,9,1,0,0,671,29,57,10,-1,,39,728,0.0
4,1,9,1,1,0,671,29,57,10,-1,,39,728,0.0
5,1,9,1,1,1,671,29,57,10,79,1645-0008,39,728,0.0
2,1,10,0,0,0,900,4,293,50,-1,,54,1193,0.0
3,1,10,1,0,0,904,4,289,40,-1,,44,1193,0.0
4,1,10,1,1,0,1047,4,146,12,-1,,16,1193,0.0
5,1,10,1,1,1,1047,4,31,12,95,Visit,16,1078,0.0
5,1,10,1,1,2,1082,4,20,12,95,the,16,1102,0.0
5,1,10,1,1,3,1108,4,23,12,96,IRS,16,1131,0.0
5,1,10,1,1,4,1136,4,57,12,96,Website,16,1193,0.0
4,1,10,1,2,0,900,6,280,48,-1,,54,1180,0.0
5,1,10,1,2,1,900,6,56,48,12,e~,54,956,0.0
5,1,10,1,2,2,972,6,72,48,78,tile),54,1044,0.0
5,1,10,1,2,3,1048,30,12,11,93,at,41,1060,0.0
5,1,10,1,2,4,1064,29,116,15,34,www.irs.goviefile.,44,1180,0.0
2,1,11,0,0,0,970,56,185,10,-1,,66,1155,0.0
3,1,11,1,0,0,970,56,185,10,-1,,66,1155,0.0
4,1,11,1,1,0,970,56,185,10,-1,,66,1155,0.0
5,1,11,1,1,1,970,56,7,10,56,2,66,977,0.0
5,1,11,1,1,2,995,56,41,10,87,Federal,66,1036,0.0
5,1,11,1,1,3,1042,56,113,10,91,income,66,1155,0.0
5,1,11,1,1,4,1087,47,17,28,96,tax,75,1104,0.0
5,1,11,1,1,5,1110,56,45,10,95,withheld,66,1155,0.0
2,1,12,0,0,0,660,153,576,5,-1,,158,1236,0.0
3,1,12,1,0,0,660,153,576,5,-1,,158,1236,0.0
4,1,12,1,1,0,660,153,576,5,-1,,158,1236,0.0
5,1,12,1,1,1,660,153,576,5,95, ,158,1236,0.0
2,1,13,0,0,0,660,204,576,5,-1,,209,1236,0.0
3,1,13,1,0,0,660,204,576,5,-1,,209,1236,0.0
4,1,13,1,1,0,660,204,576,5,-1,,209,1236,0.0
5,1,13,1,1,1,660,204,576,5,95, ,209,1236,0.0
2,1,14,0,0,0,1,256,658,3,-1,,259,659,0.0
3,1,14,1,0,0,1,256,658,3,-1,,259,659,0.0
4,1,14,1,1,0,1,256,658,3,-1,,259,659,0.0
5,1,14,1,1,1,1,256,658,3,95, ,259,659,0.0
2,1,15,0,0,0,1,308,658,3,-1,,311,659,0.0
3,1,15,1,0,0,1,308,658,3,-1,,311,659,0.0
4,1,15,1,1,0,1,308,658,3,-1,,311,659,0.0
5,1,15,1,1,1,1,308,658,3,95, ,311,659,0.0
2,1,16,0,0,0,11,167,457,159,-1,,326,468,0.0
3,1,16,1,0,0,65,167,250,15,-1,,182,315,0.0
4,1,16,1,1,0,65,167,250,15,-1,,182,315,0.0
5,1,16,1,1,1,65,167,54,15,96,2936,182,119,0.0
5,1,16,1,1,2,135,167,83,15,96,Howard,182,218,0.0
5,1,16,1,1,3,232,167,83,15,96,Radial,182,315,0.0
3,1,16,2,0,0,11,201,457,71,-1,,272,468,0.0
4,1,16,2,1,0,64,201,404,20,-1,,221,468,0.0
5,1,16,2,1,1,64,201,55,15,95,West,216,119,0.0
5,1,16,2,1,2,134,201,98,20,95,Raymond,221,232,0.0
5,1,16,2,1,3,260,202,29,14,96,NV,216,289,0.0
5,1,16,2,1,4,332,201,136,15,95,44735-6958,216,468,0.0
4,1,16,2,2,0,11,262,105,10,-1,,272,116,0.0
5,1,16,2,2,1,11,262,7,10,0,d_,272,18,0.0
5,1,16,2,2,2,29,262,39,10,96,Control,272,68,0.0
5,1,16,2,2,3,74,262,42,10,96,number,272,116,0.0
3,1,16,3,0,0,12,286,327,40,-1,,326,339,0.0
4,1,16,3,1,0,66,286,94,15,-1,,301,160,0.0
5,1,16,3,1,1,66,286,94,15,96,4741345,301,160,0.0
4,1,16,3,2,0,12,313,327,13,-1,,326,339,0.0
5,1,16,3,2,1,29,313,65,13,81,Employee's,326,94,0.0
5,1,16,3,2,2,99,313,20,10,94,first,323,119,0.0
5,1,16,3,2,3,125,316,30,7,94,name,323,155,0.0
5,1,16,3,2,4,161,313,19,10,96,and,323,180,0.0
5,1,16,3,2,5,186,313,28,10,95,initial,323,214,0.0
5,1,16,3,2,6,280,313,23,10,95,Last,323,303,0.0
5,1,16,3,2,7,309,316,30,7,94,name,323,339,0.0
2,1,17,0,0,0,63,358,241,22,-1,,380,304,0.0
3,1,17,1,0,0,63,358,241,22,-1,,380,304,0.0
4,1,17,1,1,0,63,358,241,22,-1,,380,304,0.0
5,1,17,1,1,1,63,358,80,22,95,April,380,143,0.0
5,1,17,1,1,2,193,358,111,22,96,Hensley,380,304,0.0
2,1,18,0,0,0,66,396,492,56,-1,,452,558,0.0
3,1,18,1,0,0,66,396,492,56,-1,,452,558,0.0
4,1,18,1,1,0,66,396,460,17,-1,,413,526,0.0
5,1,18,1,1,1,66,396,76,17,96,31403,413,142,1.0
5,1,18,1,1,2,160,396,80,17,96,David,413,240,1.0
5,1,18,1,1,3,257,396,109,17,95,Circles,413,366,1.0
5,1,18,1,1,4,386,396,77,17,95,Suite,413,463,1.0
5,1,18,1,1,5,482,396,44,17,96,863,413,526,1.0
4,1,18,1,2,0,402,435,156,17,-1,,452,558,0.0
5,1,18,1,2,1,402,435,156,17,94,45881-3334,452,558,0.0
2,1,19,0,0,0,64,435,272,17,-1,,452,336,0.0
3,1,19,1,0,0,64,435,272,17,-1,,452,336,0.0
4,1,19,1,1,0,64,435,272,17,-1,,452,336,0.0
5,1,19,1,1,1,64,436,63,16,92,West,452,127,1.0
5,1,19,1,1,2,144,435,127,17,91,Erinfort,452,271,1.0
5,1,19,1,1,3,304,436,32,16,95,WY,452,336,1.0
2,1,20,0,0,0,11,545,213,13,-1,,558,224,0.0
3,1,20,1,0,0,11,545,213,13,-1,,558,224,0.0
4,1,20,1,1,0,11,545,213,13,-1,,558,224,0.0
5,1,20,1,1,1,11,545,83,13,48,f_Employee's,558,94,0.0
5,1,20,1,1,2,100,545,44,10,91,address,555,144,0.0
5,1,20,1,1,3,150,545,19,10,95,and,555,169,0.0
5,1,20,1,1,4,174,545,18,10,96,ZIP,555,192,0.0
5,1,20,1,1,5,197,545,27,10,91,code,555,224,0.0
2,1,21,0,0,0,660,364,576,5,-1,,369,1236,0.0
3,1,21,1,0,0,660,364,576,5,-1,,369,1236,0.0
4,1,21,1,1,0,660,364,576,5,-1,,369,1236,0.0
5,1,21,1,1,1,660,364,576,5,95, ,369,1236,0.0
2,1,22,0,0,0,689,393,204,3,-1,,396,893,0.0
3,1,22,1,0,0,689,393,204,3,-1,,396,893,0.0
4,1,22,1,1,0,689,393,204,3,-1,,396,893,0.0
5,1,22,1,1,1,689,393,204,3,95, ,396,893,0.0
2,1,23,0,0,0,689,394,1,28,-1,,422,690,0.0
3,1,23,1,0,0,689,394,1,28,-1,,422,690,0.0
4,1,23,1,1,0,689,394,1,28,-1,,422,690,0.0
5,1,23,1,1,1,689,394,1,28,95, ,422,690,0.0
2,1,24,0,0,0,718,394,1,28,-1,,422,719,0.0
3,1,24,1,0,0,718,394,1,28,-1,,422,719,0.0
4,1,24,1,1,0,718,394,1,28,-1,,422,719,0.0
5,1,24,1,1,1,718,394,1,28,95, ,422,719,0.0
2,1,25,0,0,0,776,394,1,28,-1,,422,777,0.0
3,1,25,1,0,0,776,394,1,28,-1,,422,777,0.0
4,1,25,1,1,0,776,394,1,28,-1,,422,777,0.0
5,1,25,1,1,1,776,394,1,28,95, ,422,777,0.0
2,1,26,0,0,0,805,394,1,28,-1,,422,806,0.0
3,1,26,1,0,0,805,394,1,28,-1,,422,806,0.0
4,1,26,1,1,0,805,394,1,28,-1,,422,806,0.0
5,1,26,1,1,1,805,394,1,28,95, ,422,806,0.0
2,1,27,0,0,0,863,394,1,28,-1,,422,864,0.0
3,1,27,1,0,0,863,394,1,28,-1,,422,864,0.0
4,1,27,1,1,0,863,394,1,28,-1,,422,864,0.0
5,1,27,1,1,1,863,394,1,28,95, ,422,864,0.0
2,1,28,0,0,0,892,394,1,28,-1,,422,893,0.0
3,1,28,1,0,0,892,394,1,28,-1,,422,893,0.0
4,1,28,1,1,0,892,394,1,28,-1,,422,893,0.0
5,1,28,1,1,1,892,394,1,28,95, ,422,893,0.0
2,1,29,0,0,0,660,419,576,7,-1,,426,1236,0.0
3,1,29,1,0,0,660,419,576,7,-1,,426,1236,0.0
4,1,29,1,1,0,660,419,576,7,-1,,426,1236,0.0
5,1,29,1,1,1,660,419,576,7,95, ,426,1236,0.0
2,1,30,0,0,0,689,419,547,7,-1,,426,1236,0.0
3,1,30,1,0,0,689,419,547,7,-1,,426,1236,0.0
4,1,30,1,1,0,689,419,547,7,-1,,426,1236,0.0
5,1,30,1,1,1,689,419,547,7,95, ,426,1236,0.0
2,1,31,0,0,0,689,419,547,7,-1,,426,1236,0.0
3,1,31,1,0,0,689,419,547,7,-1,,426,1236,0.0
4,1,31,1,1,0,689,419,547,7,-1,,426,1236,0.0
5,1,31,1,1,1,689,419,547,7,95, ,426,1236,0.0
2,1,32,0,0,0,689,419,547,7,-1,,426,1236,0.0
3,1,32,1,0,0,689,419,547,7,-1,,426,1236,0.0
4,1,32,1,1,0,689,419,547,7,-1,,426,1236,0.0
5,1,32,1,1,1,689,419,547,7,95, ,426,1236,0.0
2,1,33,0,0,0,950,479,286,3,-1,,482,1236,0.0
3,1,33,1,0,0,950,479,286,3,-1,,482,1236,0.0
4,1,33,1,1,0,950,479,286,3,-1,,482,1236,0.0
5,1,33,1,1,1,950,479,286,3,95, ,482,1236,0.0
2,1,34,0,0,0,674,80,501,450,-1,,530,1175,0.0
3,1,34,1,0,0,674,80,501,450,-1,,530,1175,0.0
4,1,34,1,1,0,986,80,108,15,-1,,95,1094,0.0
5,1,34,1,1,1,986,80,108,15,90,16606.17,95,1094,0.0
4,1,34,1,2,0,681,108,471,13,-1,,121,1152,0.0
5,1,34,1,2,1,681,108,6,10,69,3,118,687,0.0
5,1,34,1,2,2,705,108,34,10,89,Social,118,739,0.0
5,1,34,1,2,3,747,100,43,25,93,security,125,790,0.0
5,1,34,1,2,4,797,111,33,10,96,wages,121,830,0.0
5,1,34,1,2,5,970,108,7,10,66,4,118,977,0.0
5,1,34,1,2,6,995,108,34,10,71,Social,118,1029,0.0
5,1,34,1,2,7,1035,108,117,13,96,security,121,1152,0.0
5,1,34,1,2,8,1084,100,18,25,96,tax,125,1102,0.0
5,1,34,1,2,9,1107,108,45,13,96,withheld,121,1152,0.0
4,1,34,1,3,0,725,133,355,15,-1,,148,1080,0.0
5,1,34,1,3,1,725,133,108,15,89,67588.01,148,833,0.0
5,1,34,1,3,2,986,133,94,15,96,5170.48,148,1080,0.0
4,1,34,1,4,0,681,159,438,13,-1,,172,1119,0.0
5,1,34,1,4,1,681,159,6,10,70,5,169,687,0.0
5,1,34,1,4,2,705,159,51,10,75,Medicare,169,756,0.0
5,1,34,1,4,3,761,162,36,10,96,wages,172,797,0.0
5,1,34,1,4,4,803,159,19,10,90,and,169,822,0.0
5,1,34,1,4,5,827,160,20,12,90,tips,172,847,0.0
5,1,34,1,4,6,970,159,6,10,60,6,169,976,0.0
5,1,34,1,4,7,995,159,51,10,74,Medicare,169,1046,0.0
5,1,34,1,4,8,1051,160,18,9,96,tax,169,1069,0.0
5,1,34,1,4,9,1073,159,46,10,95,withheld,169,1119,0.0
4,1,34,1,5,0,725,184,419,15,-1,,199,1144,0.0
5,1,34,1,5,1,725,184,109,15,91,50518.06,199,834,0.0
5,1,34,1,5,2,1050,184,94,15,94,1465.02,199,1144,0.0
4,1,34,1,6,0,681,210,391,13,-1,,223,1072,0.0
5,1,34,1,6,1,681,210,5,10,70,7,220,686,0.0
5,1,34,1,6,2,705,210,34,10,90,Social,220,739,0.0
5,1,34,1,6,3,745,202,43,25,96,security,227,788,0.0
5,1,34,1,6,4,793,211,21,12,96,tips,223,814,0.0
5,1,34,1,6,5,971,210,5,10,87,8,220,976,0.0
5,1,34,1,6,6,994,210,53,10,77,Allocated,220,1047,0.0
5,1,34,1,6,7,1052,211,20,12,95,tips,223,1072,0.0
4,1,34,1,7,0,725,235,434,15,-1,,250,1159,0.0
5,1,34,1,7,1,725,235,108,15,90,67588.01,250,833,0.0
5,1,34,1,7,2,1050,235,109,15,90,50518.06,250,1159,0.0
4,1,34,1,8,0,680,262,453,13,-1,,275,1133,0.0
5,1,34,1,8,1,680,262,7,10,64,9,272,687,0.0
5,1,34,1,8,2,704,262,48,10,73,Advance,272,752,0.0
5,1,34,1,8,3,758,262,19,10,92,EIC,272,777,0.0
5,1,34,1,8,4,783,263,48,12,96,payment,275,831,0.0
5,1,34,1,8,5,964,262,13,10,80,10,272,977,0.0
5,1,34,1,8,6,995,262,60,13,75,Dependent,275,1055,0.0
5,1,34,1,8,7,1061,265,23,7,96,care,272,1084,0.0
5,1,34,1,8,8,1090,262,43,10,93,benefits,272,1133,0.0
4,1,34,1,9,0,1049,286,39,15,-1,,301,1088,0.0
5,1,34,1,9,1,1049,286,39,15,96,238,301,1088,0.0
4,1,34,1,10,0,674,313,501,13,-1,,326,1175,0.0
5,1,34,1,10,1,674,313,11,10,50,11,323,685,0.0
5,1,34,1,10,2,705,313,68,13,77,Nonqualified,326,773,0.0
5,1,34,1,10,3,779,313,29,13,94,plans,326,808,0.0
5,1,34,1,10,4,966,313,20,10,57,12a,323,986,0.0
5,1,34,1,10,5,1009,313,22,10,40,See,323,1031,0.0
5,1,34,1,10,6,1037,313,71,10,95,instructions,323,1108,0.0
5,1,34,1,10,7,1112,313,17,10,95,for,323,1129,0.0
5,1,34,1,10,8,1134,313,22,10,95,box,323,1156,0.0
5,1,34,1,10,9,1162,313,13,10,96,12,323,1175,0.0
4,1,34,1,11,0,724,344,378,15,-1,,359,1102,0.0
5,1,34,1,11,1,724,344,39,15,96,210,359,763,0.0
5,1,34,1,11,2,1006,345,13,14,87,G,359,1019,0.0
5,1,34,1,11,3,1050,344,52,15,83,|8500,359,1102,0.0
4,1,34,1,12,0,674,365,313,22,-1,,387,987,0.0
5,1,34,1,12,1,674,370,13,10,83,13,380,687,0.0
5,1,34,1,12,2,693,371,43,10,81,Statutory,381,736,0.0
5,1,34,1,12,3,776,365,54,22,92,Retirement,387,830,0.0
5,1,34,1,12,4,866,366,58,21,43,Third-party.,387,924,0.0
5,1,34,1,12,5,966,370,21,10,85,12b,380,987,0.0
4,1,34,1,13,0,693,385,213,9,-1,,394,906,0.0
5,1,34,1,13,1,693,385,45,9,68,emlgyee,394,738,0.0
5,1,34,1,13,2,780,385,18,9,54,plan,394,798,0.0
5,1,34,1,13,3,867,385,18,8,62,sick,393,885,0.0
5,1,34,1,13,4,895,387,11,7,62,pay,394,906,0.0
4,1,34,1,14,0,786,398,303,15,-1,,413,1089,0.0
5,1,34,1,14,1,786,402,10,11,95,x,413,796,0.0
5,1,34,1,14,2,873,402,10,11,94,x,413,883,0.0
5,1,34,1,14,3,1049,398,40,15,96,489,413,1089,0.0
4,1,34,1,15,0,674,427,312,13,-1,,440,986,0.0
5,1,34,1,15,1,674,427,13,10,49,44,437,687,0.0
5,1,34,1,15,2,705,427,31,10,81,Other,437,736,0.0
5,1,34,1,15,3,741,427,23,13,86,(see,440,764,0.0
5,1,34,1,15,4,770,427,50,10,96,enclosed,437,820,0.0
5,1,34,1,15,5,826,427,35,10,96,Notice,437,861,0.0
5,1,34,1,15,6,866,428,10,9,96,to,437,876,0.0
5,1,34,1,15,7,882,427,61,13,94,Employee),440,943,0.0
5,1,34,1,15,8,949,419,11,25,46,|,444,960,0.0
5,1,34,1,15,9,966,427,20,10,38,12c,437,986,0.0
4,1,34,1,16,0,1005,458,84,15,-1,,473,1089,0.0
5,1,34,1,16,1,1005,459,13,14,78,D,473,1018,0.0
5,1,34,1,16,2,1050,458,39,15,62,(999,473,1089,0.0
4,1,34,1,17,0,966,484,20,10,-1,,494,986,0.0
5,1,34,1,17,1,966,484,20,10,88,12d,494,986,0.0
4,1,34,1,18,0,1006,515,82,15,-1,,530,1088,0.0
5,1,34,1,18,1,1006,516,13,14,88,G,530,1019,0.0
5,1,34,1,18,2,1050,515,38,15,80,|381,530,1088,0.0
2,1,35,0,0,0,1042,326,3,212,-1,,538,1045,0.0
3,1,35,1,0,0,1042,326,3,212,-1,,538,1045,0.0
4,1,35,1,1,0,1042,326,3,212,-1,,538,1045,0.0
5,1,35,1,1,1,1042,326,3,212,95, ,538,1045,0.0
2,1,36,0,0,0,950,536,286,3,-1,,539,1236,0.0
3,1,36,1,0,0,950,536,286,3,-1,,539,1236,0.0
4,1,36,1,1,0,950,536,286,3,-1,,539,1236,0.0
5,1,36,1,1,1,950,536,286,3,95, ,539,1236,0.0
2,1,37,0,0,0,659,105,3,454,-1,,559,662,0.0
3,1,37,1,0,0,659,105,3,454,-1,,559,662,0.0
4,1,37,1,1,0,659,105,3,454,-1,,559,662,0.0
5,1,37,1,1,1,659,105,3,454,95, ,559,662,0.0
2,1,38,0,0,0,949,105,3,454,-1,,559,952,0.0
3,1,38,1,0,0,949,105,3,454,-1,,559,952,0.0
4,1,38,1,1,0,949,105,3,454,-1,,559,952,0.0
5,1,38,1,1,1,949,105,3,454,95, ,559,952,0.0
2,1,39,0,0,0,1,555,1235,7,-1,,562,1236,0.0
3,1,39,1,0,0,1,555,1235,7,-1,,562,1236,0.0
4,1,39,1,1,0,1,555,1235,7,-1,,562,1236,0.0
5,1,39,1,1,1,1,555,1235,7,95, ,562,1236,0.0
2,1,40,0,0,0,6,562,263,40,-1,,602,269,0.0
3,1,40,1,0,0,6,562,263,40,-1,,602,269,0.0
4,1,40,1,1,0,6,562,241,13,-1,,575,247,0.0
5,1,40,1,1,1,6,562,13,10,90,15,572,19,0.0
5,1,40,1,1,2,29,562,29,10,67,State!,572,58,0.0
5,1,40,1,1,3,88,562,62,13,55,Employer's,575,150,0.0
5,1,40,1,1,4,156,563,27,9,84,state,572,183,0.0
5,1,40,1,1,5,189,562,10,10,84,ID,572,199,0.0
5,1,40,1,1,6,205,562,42,10,96,number,572,247,0.0
4,1,40,1,2,0,16,587,253,15,-1,,602,269,0.0
5,1,40,1,2,1,16,588,27,14,72,DC,602,43,0.0
5,1,40,1,2,2,132,587,137,15,86,786-41-049,602,269,0.0
2,1,41,0,0,0,349,562,146,13,-1,,575,495,0.0
3,1,41,1,0,0,349,562,146,13,-1,,575,495,0.0
4,1,41,1,1,0,349,562,146,13,-1,,575,495,0.0
5,1,41,1,1,1,349,562,12,10,52,16,572,361,0.0
5,1,41,1,1,2,370,562,29,10,91,State,572,399,0.0
5,1,41,1,1,3,404,565,36,10,83,"wages,",575,440,0.0
5,1,41,1,1,4,449,563,20,12,94,"tips,",575,469,0.0
5,1,41,1,1,5,479,563,16,9,66,ete,572,495,0.0
2,1,42,0,0,0,346,587,110,15,-1,,602,456,0.0
3,1,42,1,0,0,346,587,110,15,-1,,602,456,0.0
4,1,42,1,1,0,346,587,110,15,-1,,602,456,0.0
5,1,42,1,1,1,346,587,110,15,91,28287.19,602,456,0.0
2,1,43,0,0,0,3,608,1108,3,-1,,611,1111,0.0
3,1,43,1,0,0,3,608,1108,3,-1,,611,1111,0.0
4,1,43,1,1,0,3,608,1108,3,-1,,611,1111,0.0
5,1,43,1,1,1,3,608,1108,3,95, ,611,1111,0.0
2,1,44,0,0,0,59,558,1,103,-1,,661,60,0.0
3,1,44,1,0,0,59,558,1,103,-1,,661,60,0.0
4,1,44,1,1,0,59,558,1,103,-1,,661,60,0.0
5,1,44,1,1,1,59,558,1,103,95, ,661,60,0.0
2,1,45,0,0,0,340,558,1,103,-1,,661,341,0.0
3,1,45,1,0,0,340,558,1,103,-1,,661,341,0.0
4,1,45,1,1,0,340,558,1,103,-1,,661,341,0.0
5,1,45,1,1,1,340,558,1,103,95, ,661,341,0.0
2,1,46,0,0,0,532,558,1,103,-1,,661,533,0.0
3,1,46,1,0,0,532,558,1,103,-1,,661,533,0.0
4,1,46,1,1,0,532,558,1,103,-1,,661,533,0.0
5,1,46,1,1,1,532,558,1,103,95, ,661,533,0.0
2,1,47,0,0,0,541,562,119,10,-1,,572,660,0.0
3,1,47,1,0,0,541,562,119,10,-1,,572,660,0.0
4,1,47,1,1,0,541,562,119,10,-1,,572,660,0.0
5,1,47,1,1,1,541,562,11,10,54,17,572,552,0.0
5,1,47,1,1,2,562,562,29,10,95,State,572,591,0.0
5,1,47,1,1,3,597,565,40,7,94,income,572,637,0.0
5,1,47,1,1,4,642,563,18,9,96,tax,572,660,0.0
2,1,48,0,0,0,539,587,94,15,-1,,602,633,0.0
3,1,48,1,0,0,539,587,94,15,-1,,602,633,0.0
4,1,48,1,1,0,539,587,94,15,-1,,602,633,0.0
5,1,48,1,1,1,539,587,94,15,96,1608.75,602,633,0.0
2,1,49,0,0,0,726,562,147,13,-1,,575,873,0.0
3,1,49,1,0,0,726,562,147,13,-1,,575,873,0.0
4,1,49,1,1,0,726,562,147,13,-1,,575,873,0.0
5,1,49,1,1,1,726,562,12,10,75,78,572,738,0.0
5,1,49,1,1,2,748,562,29,10,93,Local,572,777,0.0
5,1,49,1,1,3,782,565,36,10,75,wages.,575,818,0.0
5,1,49,1,1,4,827,563,20,12,94,"tips,",575,847,0.0
5,1,49,1,1,5,857,563,16,9,76,ete,572,873,0.0
2,1,50,0,0,0,724,587,109,15,-1,,602,833,0.0
3,1,50,1,0,0,724,587,109,15,-1,,602,833,0.0
4,1,50,1,1,0,724,587,109,15,-1,,602,833,0.0
5,1,50,1,1,1,724,587,109,15,91,44590.58,602,833,0.0
2,1,51,0,0,0,717,394,3,267,-1,,661,720,0.0
3,1,51,1,0,0,717,394,3,267,-1,,661,720,0.0
4,1,51,1,1,0,717,394,3,267,-1,,661,720,0.0
5,1,51,1,1,1,717,394,3,267,95, ,661,720,0.0
2,1,52,0,0,0,921,558,1,103,-1,,661,922,0.0
3,1,52,1,0,0,921,558,1,103,-1,,661,922,0.0
4,1,52,1,1,0,921,558,1,103,-1,,661,922,0.0
5,1,52,1,1,1,921,558,1,103,95, ,661,922,0.0
2,1,53,0,0,0,930,562,119,10,-1,,572,1049,0.0
3,1,53,1,0,0,930,562,119,10,-1,,572,1049,0.0
4,1,53,1,1,0,930,562,119,10,-1,,572,1049,0.0
5,1,53,1,1,1,930,562,11,10,75,19,572,941,0.0
5,1,53,1,1,2,951,562,29,10,88,Local,572,980,0.0
5,1,53,1,1,3,986,565,40,7,88,income,572,1026,0.0
5,1,53,1,1,4,1031,563,18,9,96,tax,572,1049,0.0
2,1,54,0,0,0,928,587,94,15,-1,,602,1022,0.0
3,1,54,1,0,0,928,587,94,15,-1,,602,1022,0.0
4,1,54,1,1,0,928,587,94,15,-1,,602,1022,0.0
5,1,54,1,1,1,928,587,94,15,96,6842.08,602,1022,0.0
2,1,55,0,0,0,1114,562,102,13,-1,,575,1216,0.0
3,1,55,1,0,0,1114,562,102,13,-1,,575,1216,0.0
4,1,55,1,1,0,1114,562,102,13,-1,,575,1216,0.0
5,1,55,1,1,1,1114,562,13,10,71,20,572,1127,0.0
5,1,55,1,1,2,1137,562,44,13,88,Locality,575,1181,0.0
